Transaction_ID,Date,Location,Flavor,Quantity,Selling_Price,Cost_Price,Revenue,Total_Cost,Profit
TXN2000,2026-03-17,Namakkal,Chocolate Crunch,39,60,50,2340,1950,390
TXN2001,2026-01-11,Mumbai,Vanilla Delight,40,60,40,2400,1600,800
TXN2002,2026-03-23,Ongole,Blueberry Ice,88,50,35,4400,3080,1320
TXN2003,2026-02-27,Bangalore,Vanilla Delight,67,60,40,4020,2680,1340
TXN2004,2026-03-09,Coimbatore,Blueberry Ice,85,60,45,5100,3825,1275
TXN2005,2026-01-11,Karur,Strawberry Swirl,100,30,10,3000,1000,2000
TXN2006,2026-03-08,Trichy,Mango Blast,47,30,15,1410,705,705
TXN2007,2026-01-15,Coimbatore,Strawberry Swirl,42,60,40,2520,1680,840
TXN2008,2026-01-28,Ongole,Mango Blast,81,60,45,4860,3645,1215
TXN2009,2026-03-25,Trichy,Watermelon Chill,84,30,15,2520,1260,1260
TXN2010,2026-02-19,Trichy,Chocolate Crunch,41,50,40,2050,1640,410
TXN2011,2026-01-08,Namakkal,Vanilla Delight,52,50,35,2600,1820,780
TXN2012,2026-02-11,Trichy,Chocolate Crunch,87,30,20,2610,1740,870
TXN2013,2026-02-09,Bangalore,Vanilla Delight,79,60,50,4740,3950,790
TXN2014,2026-03-25,Trichy,Vanilla Delight,79,30,10,2370,790,1580
TXN2015,2026-01-12,Bangalore,Vanilla Delight,57,30,20,1710,1140,570
TXN2016,2026-02-26,Bangalore,Vanilla Delight,31,60,50,1860,1550,310
TXN2017,2026-03-31,Trichy,Blueberry Ice,35,50,40,1750,1400,350
TXN2018,2026-01-04,Ongole,Strawberry Swirl,49,50,35,2450,1715,735
TXN2019,2026-03-22,Karur,Mango Blast,18,30,10,540,180,360
TXN2020,2026-03-23,Tenali,Strawberry Swirl,32,60,45,1920,1440,480
TXN2021,2026-03-21,Bangalore,Vanilla Delight,54,40,30,2160,1620,540
TXN2022,2026-03-11,Mumbai,Vanilla Delight,13,40,25,520,325,195
TXN2023,2026-01-31,Trichy,Chocolate Crunch,49,60,45,2940,2205,735
TXN2024,2026-01-04,Trichy,Blueberry Ice,51,60,50,3060,2550,510
TXN2025,2026-03-18,Ongole,Vanilla Delight,67,60,40,4020,2680,1340
TXN2026,2026-03-20,Tenali,Mango Blast,61,60,50,3660,3050,610
TXN2027,2026-01-14,Mumbai,Watermelon Chill,88,60,50,5280,4400,880
TXN2028,2026-01-30,Mumbai,Strawberry Swirl,89,40,20,3560,1780,1780
TXN2029,2026-03-25,Namakkal,Strawberry Swirl,33,30,15,990,495,495
TXN2030,2026-01-24,Coimbatore,Mango Blast,20,40,30,800,600,200
TXN2031,2026-01-26,Mumbai,Vanilla Delight,97,60,45,5820,4365,1455
TXN2032,2026-02-14,Namakkal,Mango Blast,90,50,35,4500,3150,1350
TXN2033,2026-02-18,Mumbai,Vanilla Delight,17,60,40,1020,680,340
TXN2034,2026-03-31,Mumbai,Watermelon Chill,17,50,30,850,510,340
TXN2035,2026-03-16,Karur,Mango Blast,24,50,40,1200,960,240
TXN2036,2026-01-15,Trichy,Vanilla Delight,57,60,45,3420,2565,855
TXN2037,2026-03-29,Namakkal,Watermelon Chill,25,30,10,750,250,500
TXN2038,2026-03-05,Namakkal,Vanilla Delight,81,50,35,4050,2835,1215
TXN2039,2026-01-03,Karur,Mango Blast,47,50,40,2350,1880,470
TXN2040,2026-02-09,Coimbatore,Watermelon Chill,33,60,50,1980,1650,330
TXN2041,2026-03-10,Mumbai,Strawberry Swirl,42,60,40,2520,1680,840
TXN2042,2026-02-26,Ongole,Chocolate Crunch,48,30,20,1440,960,480
TXN2043,2026-02-01,Ongole,Blueberry Ice,12,40,30,480,360,120
TXN2044,2026-01-29,Namakkal,Mango Blast,37,60,40,2220,1480,740
TXN2045,2026-03-12,Tenali,Vanilla Delight,48,60,45,2880,2160,720
TXN2046,2026-01-08,Ongole,Strawberry Swirl,13,30,20,390,260,130
TXN2047,2026-02-25,Karur,Vanilla Delight,39,30,20,1170,780,390
TXN2048,2026-02-03,Ongole,Watermelon Chill,96,50,30,4800,2880,1920
TXN2049,2026-03-19,Coimbatore,Chocolate Crunch,54,30,20,1620,1080,540
TXN2050,2026-02-02,Bangalore,Strawberry Swirl,88,50,30,4400,2640,1760
TXN2051,2026-03-03,Bangalore,Watermelon Chill,72,60,40,4320,2880,1440
TXN2052,2026-04-01,Tenali,Vanilla Delight,49,30,20,1470,980,490
TXN2053,2026-01-25,Tenali,Watermelon Chill,89,50,35,4450,3115,1335
TXN2054,2026-02-10,Mumbai,Blueberry Ice,32,40,30,1280,960,320
TXN2055,2026-02-08,Namakkal,Mango Blast,71,60,40,4260,2840,1420
TXN2056,2026-03-24,Mumbai,Chocolate Crunch,91,50,35,4550,3185,1365
TXN2057,2026-02-16,Tenali,Watermelon Chill,68,40,20,2720,1360,1360
TXN2058,2026-01-04,Namakkal,Vanilla Delight,47,50,35,2350,1645,705
TXN2059,2026-01-21,Namakkal,Watermelon Chill,41,50,35,2050,1435,615
TXN2060,2026-01-13,Coimbatore,Mango Blast,93,60,45,5580,4185,1395
TXN2061,2026-02-04,Namakkal,Blueberry Ice,69,40,30,2760,2070,690
TXN2062,2026-01-10,Trichy,Strawberry Swirl,37,30,15,1110,555,555
TXN2063,2026-03-14,Mumbai,Watermelon Chill,60,30,15,1800,900,900
TXN2064,2026-03-11,Coimbatore,Blueberry Ice,81,30,20,2430,1620,810
TXN2065,2026-01-04,Tenali,Chocolate Crunch,68,40,20,2720,1360,1360
TXN2066,2026-03-05,Karur,Watermelon Chill,46,40,30,1840,1380,460
TXN2067,2026-01-16,Trichy,Vanilla Delight,92,50,30,4600,2760,1840
TXN2068,2026-01-25,Trichy,Vanilla Delight,54,40,20,2160,1080,1080
TXN2069,2026-01-28,Coimbatore,Mango Blast,50,40,20,2000,1000,1000
TXN2070,2026-03-12,Tenali,Blueberry Ice,46,50,30,2300,1380,920
TXN2071,2026-02-24,Karur,Blueberry Ice,24,50,35,1200,840,360
TXN2072,2026-02-02,Karur,Vanilla Delight,100,30,10,3000,1000,2000
TXN2073,2026-01-25,Trichy,Mango Blast,74,40,30,2960,2220,740
TXN2074,2026-02-10,Ongole,Strawberry Swirl,53,50,35,2650,1855,795
TXN2075,2026-02-25,Ongole,Mango Blast,90,40,20,3600,1800,1800
TXN2076,2026-01-10,Karur,Watermelon Chill,56,40,30,2240,1680,560
TXN2077,2026-03-05,Trichy,Strawberry Swirl,16,40,20,640,320,320
TXN2078,2026-01-28,Coimbatore,Strawberry Swirl,59,60,50,3540,2950,590
TXN2079,2026-03-13,Namakkal,Blueberry Ice,71,30,10,2130,710,1420
