Transaction_ID,Date,City,Flavor,Quantity,Price_per_Unit,Total_Amount,Payment_Method
TXN1000,2026-02-12,Tenali,Chocolate Crunch,3,30,90,UPI
TXN1001,2026-02-15,Tenali,Watermelon Chill,5,50,250,Cash
TXN1002,2026-03-04,Bangalore,Blueberry Ice,1,40,40,Cash
TXN1003,2026-01-12,Bangalore,Vanilla Delight,3,50,150,Cash
TXN1004,2026-01-21,Ongole,Vanilla Delight,1,30,30,UPI
TXN1005,2026-03-28,Mumbai,Blueberry Ice,3,30,90,Card
TXN1006,2026-01-06,Ongole,Chocolate Crunch,1,40,40,Card
TXN1007,2026-03-01,Namakkal,Vanilla Delight,1,40,40,UPI
TXN1008,2026-01-03,Trichy,Strawberry Swirl,5,40,200,Cash
TXN1009,2026-01-08,Coimbatore,Watermelon Chill,2,50,100,UPI
TXN1010,2026-02-27,Ongole,Mango Blast,4,60,240,Card
TXN1011,2026-02-20,Tenali,Vanilla Delight,2,60,120,Cash
TXN1012,2026-03-12,Mumbai,Strawberry Swirl,2,40,80,UPI
TXN1013,2026-03-12,Karur,Blueberry Ice,1,40,40,Cash
TXN1014,2026-02-26,Bangalore,Vanilla Delight,2,40,80,Card
TXN1015,2026-02-04,Namakkal,Mango Blast,2,50,100,UPI
TXN1016,2026-03-28,Coimbatore,Mango Blast,4,30,120,Card
TXN1017,2026-02-22,Namakkal,Chocolate Crunch,5,30,150,Cash
TXN1018,2026-02-26,Coimbatore,Strawberry Swirl,3,60,180,Card
TXN1019,2026-02-24,Bangalore,Strawberry Swirl,3,30,90,Card
TXN1020,2026-02-14,Tenali,Vanilla Delight,2,30,60,Card
TXN1021,2026-03-19,Trichy,Mango Blast,1,40,40,Cash
TXN1022,2026-02-25,Coimbatore,Vanilla Delight,3,50,150,Cash
TXN1023,2026-03-10,Trichy,Mango Blast,4,50,200,Card
TXN1024,2026-01-03,Bangalore,Vanilla Delight,2,60,120,UPI
TXN1025,2026-02-10,Trichy,Watermelon Chill,2,60,120,Cash
TXN1026,2026-02-21,Ongole,Watermelon Chill,5,40,200,UPI
TXN1027,2026-03-09,Bangalore,Vanilla Delight,4,60,240,UPI
TXN1028,2026-02-06,Trichy,Strawberry Swirl,3,50,150,Card
TXN1029,2026-01-14,Trichy,Chocolate Crunch,3,30,90,Card
TXN1030,2026-03-06,Coimbatore,Vanilla Delight,5,30,150,Cash
TXN1031,2026-03-14,Mumbai,Strawberry Swirl,3,30,90,UPI
TXN1032,2026-03-10,Ongole,Watermelon Chill,1,60,60,UPI
TXN1033,2026-03-27,Ongole,Watermelon Chill,1,40,40,Cash
TXN1034,2026-01-29,Bangalore,Chocolate Crunch,2,50,100,Card
TXN1035,2026-02-01,Ongole,Watermelon Chill,4,60,240,UPI
TXN1036,2026-02-23,Coimbatore,Blueberry Ice,3,60,180,UPI
TXN1037,2026-01-04,Mumbai,Mango Blast,5,40,200,Card
TXN1038,2026-02-10,Trichy,Strawberry Swirl,2,40,80,UPI
TXN1039,2026-01-14,Karur,Blueberry Ice,4,40,160,UPI
TXN1040,2026-01-15,Karur,Chocolate Crunch,1,30,30,Cash
TXN1041,2026-02-15,Mumbai,Mango Blast,1,30,30,Cash
TXN1042,2026-02-01,Karur,Vanilla Delight,2,40,80,Cash
TXN1043,2026-04-01,Mumbai,Vanilla Delight,1,30,30,UPI
TXN1044,2026-02-05,Trichy,Vanilla Delight,3,40,120,Card
TXN1045,2026-02-25,Namakkal,Blueberry Ice,2,50,100,Card
TXN1046,2026-02-13,Ongole,Strawberry Swirl,4,60,240,UPI
TXN1047,2026-02-19,Karur,Chocolate Crunch,4,30,120,Card
TXN1048,2026-02-25,Mumbai,Vanilla Delight,4,30,120,UPI
TXN1049,2026-01-08,Tenali,Mango Blast,2,50,100,UPI
TXN1050,2026-03-20,Mumbai,Blueberry Ice,2,60,120,UPI
TXN1051,2026-01-13,Mumbai,Strawberry Swirl,1,30,30,Card
TXN1052,2026-03-05,Namakkal,Strawberry Swirl,3,50,150,UPI
TXN1053,2026-01-20,Trichy,Chocolate Crunch,5,30,150,Cash
TXN1054,2026-01-10,Tenali,Mango Blast,3,50,150,Cash
TXN1055,2026-03-03,Bangalore,Mango Blast,3,30,90,Card
TXN1056,2026-03-28,Ongole,Blueberry Ice,2,30,60,Card
TXN1057,2026-02-12,Ongole,Strawberry Swirl,2,40,80,Card
TXN1058,2026-01-30,Ongole,Watermelon Chill,4,30,120,Cash
TXN1059,2026-02-19,Ongole,Strawberry Swirl,5,50,250,Card
TXN1060,2026-02-04,Karur,Vanilla Delight,5,60,300,UPI
TXN1061,2026-02-24,Trichy,Mango Blast,4,40,160,Card
TXN1062,2026-02-20,Coimbatore,Chocolate Crunch,4,60,240,Card
TXN1063,2026-01-13,Tenali,Mango Blast,2,40,80,Cash
TXN1064,2026-03-24,Trichy,Blueberry Ice,5,60,300,Card
TXN1065,2026-02-23,Mumbai,Watermelon Chill,4,40,160,UPI
TXN1066,2026-02-16,Karur,Blueberry Ice,3,30,90,Card
TXN1067,2026-02-08,Tenali,Chocolate Crunch,1,30,30,Cash
TXN1068,2026-01-02,Ongole,Watermelon Chill,2,40,80,Cash
TXN1069,2026-03-07,Mumbai,Chocolate Crunch,1,30,30,Card
TXN1070,2026-01-19,Karur,Watermelon Chill,5,60,300,UPI
TXN1071,2026-02-12,Mumbai,Vanilla Delight,4,60,240,Card
TXN1072,2026-03-23,Tenali,Mango Blast,2,40,80,Cash
TXN1073,2026-02-23,Coimbatore,Chocolate Crunch,4,60,240,Cash
TXN1074,2026-03-31,Tenali,Strawberry Swirl,5,50,250,Card
TXN1075,2026-03-08,Ongole,Chocolate Crunch,1,60,60,Card
TXN1076,2026-03-22,Bangalore,Vanilla Delight,5,50,250,UPI
TXN1077,2026-01-24,Namakkal,Vanilla Delight,2,30,60,Card
TXN1078,2026-01-13,Coimbatore,Strawberry Swirl,4,50,200,UPI
TXN1079,2026-03-13,Tenali,Strawberry Swirl,5,60,300,UPI
TXN1080,2026-01-05,Karur,Watermelon Chill,3,40,120,Card
TXN1081,2026-02-17,Trichy,Mango Blast,3,50,150,UPI
TXN1082,2026-03-07,Coimbatore,Mango Blast,2,60,120,Card
TXN1083,2026-02-01,Namakkal,Mango Blast,3,30,90,UPI
TXN1084,2026-03-29,Trichy,Mango Blast,2,30,60,UPI
TXN1085,2026-03-25,Trichy,Mango Blast,2,50,100,Cash
TXN1086,2026-02-23,Namakkal,Blueberry Ice,1,30,30,Card
TXN1087,2026-02-15,Trichy,Chocolate Crunch,1,50,50,UPI
