Report_ID,Date,City,Total_Revenue,Total_Cost,Profit,Loss
FIN7000,2026-01-11,Bangalore,33827,43890,0,10063
FIN7001,2026-01-26,Mumbai,40053,32918,7135,0
FIN7002,2026-01-05,Pune,27592,20020,7572,0
FIN7003,2026-01-28,Chennai,23398,16322,7076,0
FIN7004,2026-01-19,Chennai,21273,13608,7665,0
FIN7005,2026-01-08,Delhi,44122,35492,8630,0
FIN7006,2026-01-03,Coimbatore,28624,15220,13404,0
FIN7007,2026-01-03,Chennai,10297,5426,4871,0
FIN7008,2026-01-15,Coimbatore,35403,18492,16911,0
FIN7009,2026-01-12,Delhi,40142,50015,0,9873
FIN7010,2026-01-12,Hyderabad,29475,16681,12794,0
FIN7011,2026-01-08,Bangalore,33969,21723,12246,0
FIN7012,2026-01-24,Pune,13847,11698,2149,0
FIN7013,2026-01-12,Chennai,43904,25843,18061,0
FIN7014,2026-01-06,Bangalore,39809,20579,19230,0
FIN7015,2026-01-29,Bangalore,23529,13088,10441,0
FIN7016,2026-01-29,Mumbai,37941,41610,0,3669
FIN7017,2026-01-24,Pune,24484,18432,6052,0
FIN7018,2026-01-02,Hyderabad,33843,25712,8131,0
FIN7019,2026-01-15,Hyderabad,18138,9467,8671,0
FIN7020,2026-01-20,Namakkal,37991,47830,0,9839
FIN7021,2026-01-28,Pune,27383,15781,11602,0
FIN7022,2026-01-03,Delhi,38892,24661,14231,0
FIN7023,2026-01-24,Bangalore,18277,23384,0,5107
FIN7024,2026-01-24,Pune,22606,17434,5172,0
FIN7025,2026-01-23,Hyderabad,8203,4281,3922,0
FIN7026,2026-01-02,Mumbai,11455,7939,3516,0
FIN7027,2026-01-01,Coimbatore,33820,23054,10766,0
FIN7028,2026-01-01,Namakkal,15880,10672,5208,0
FIN7029,2026-01-29,Mumbai,13228,9963,3265,0
FIN7030,2026-01-02,Namakkal,5557,2859,2698,0
FIN7031,2026-01-04,Mumbai,23893,30008,0,6115
FIN7032,2026-01-12,Mumbai,40031,25955,14076,0
FIN7033,2026-01-09,Pune,15146,11284,3862,0
FIN7034,2026-01-09,Namakkal,9897,6561,3336,0
FIN7035,2026-01-14,Delhi,22834,15552,7282,0
FIN7036,2026-01-21,Namakkal,26432,19170,7262,0
FIN7037,2026-01-23,Mumbai,18653,9400,9253,0
FIN7038,2026-01-31,Chennai,9222,4950,4272,0
FIN7039,2026-01-15,Coimbatore,23491,14692,8799,0
FIN7040,2026-01-22,Bangalore,19857,11992,7865,0
FIN7041,2026-01-28,Hyderabad,25989,21050,4939,0
FIN7042,2026-01-17,Namakkal,43629,22075,21554,0
FIN7043,2026-01-23,Coimbatore,38914,22427,16487,0
FIN7044,2026-01-05,Mumbai,11115,5595,5520,0
FIN7045,2026-01-25,Bangalore,35960,21620,14340,0
FIN7046,2026-01-29,Namakkal,38185,27951,10234,0
FIN7047,2026-01-23,Coimbatore,14348,11019,3329,0
FIN7048,2026-01-14,Delhi,25913,18699,7214,0
FIN7049,2026-01-20,Namakkal,38473,26055,12418,0
FIN7050,2026-01-05,Bangalore,15982,10162,5820,0
FIN7051,2026-01-30,Mumbai,47914,33332,14582,0
FIN7052,2026-01-03,Pune,21988,16798,5190,0
FIN7053,2026-01-28,Delhi,16582,11794,4788,0
FIN7054,2026-01-02,Namakkal,30566,20681,9885,0
FIN7055,2026-01-31,Coimbatore,18255,10925,7330,0
FIN7056,2026-01-25,Namakkal,19854,15048,4806,0
FIN7057,2026-01-25,Hyderabad,13119,8679,4440,0
FIN7058,2026-01-01,Coimbatore,40900,24839,16061,0
FIN7059,2026-01-18,Chennai,44204,33429,10775,0
FIN7060,2026-01-29,Namakkal,25447,21426,4021,0
FIN7061,2026-01-22,Bangalore,45219,34462,10757,0
FIN7062,2026-01-03,Hyderabad,39326,30658,8668,0
FIN7063,2026-01-27,Delhi,18386,14364,4022,0
FIN7064,2026-01-14,Pune,38087,28304,9783,0
FIN7065,2026-01-19,Chennai,27364,32692,0,5328
FIN7066,2026-01-12,Pune,10170,7863,2307,0
FIN7067,2026-01-27,Chennai,17458,9491,7967,0
FIN7068,2026-01-03,Coimbatore,33471,21295,12176,0
FIN7069,2026-01-24,Bangalore,11778,8842,2936,0
FIN7070,2026-01-08,Namakkal,46876,30196,16680,0
FIN7071,2026-01-18,Bangalore,27694,17163,10531,0
FIN7072,2026-01-17,Bangalore,49317,34589,14728,0
FIN7073,2026-01-19,Bangalore,16880,12981,3899,0
FIN7074,2026-01-21,Namakkal,41823,27224,14599,0
FIN7075,2026-01-22,Chennai,46628,36930,9698,0
FIN7076,2026-01-06,Chennai,18296,15489,2807,0
FIN7077,2026-01-03,Namakkal,36372,30406,5966,0
FIN7078,2026-01-12,Coimbatore,12608,6442,6166,0
FIN7079,2026-01-03,Hyderabad,35697,18533,17164,0
FIN7080,2026-01-22,Delhi,47800,39878,7922,0
FIN7081,2026-01-26,Delhi,23436,11983,11453,0
FIN7082,2026-01-05,Namakkal,39209,30866,8343,0
FIN7083,2026-01-13,Namakkal,12289,6785,5504,0
FIN7084,2026-01-12,Pune,45789,37368,8421,0
FIN7085,2026-01-26,Hyderabad,12783,7479,5304,0
FIN7086,2026-01-18,Namakkal,49439,54830,0,5391
FIN7087,2026-01-03,Coimbatore,36448,23666,12782,0
FIN7088,2026-01-03,Mumbai,15889,17952,0,2063
FIN7089,2026-01-14,Mumbai,15616,11634,3982,0
FIN7090,2026-01-13,Delhi,21493,12903,8590,0
FIN7091,2026-01-13,Bangalore,13773,9004,4769,0
FIN7092,2026-01-09,Namakkal,17501,11615,5886,0
FIN7093,2026-01-03,Namakkal,18173,14574,3599,0
FIN7094,2026-01-23,Mumbai,31667,23730,7937,0
FIN7095,2026-01-11,Chennai,26793,16852,9941,0
FIN7096,2026-01-04,Coimbatore,22704,16418,6286,0
FIN7097,2026-01-04,Hyderabad,42483,25347,17136,0
FIN7098,2026-01-15,Coimbatore,39271,44197,0,4926
FIN7099,2026-01-01,Coimbatore,29060,24557,4503,0
FIN7100,2026-01-16,Mumbai,33375,26677,6698,0
FIN7101,2026-01-30,Coimbatore,32185,21464,10721,0
FIN7102,2026-01-25,Chennai,46278,56935,0,10657
FIN7103,2026-01-22,Mumbai,44032,32326,11706,0
FIN7104,2026-01-26,Mumbai,45772,29826,15946,0
FIN7105,2026-01-19,Mumbai,26864,18382,8482,0
FIN7106,2026-01-07,Namakkal,46806,27341,19465,0
FIN7107,2026-01-07,Delhi,13928,15402,0,1474
FIN7108,2026-01-25,Coimbatore,29342,15805,13537,0
FIN7109,2026-01-02,Mumbai,7978,5541,2437,0
FIN7110,2026-01-02,Namakkal,29930,21086,8844,0
FIN7111,2026-01-25,Mumbai,8759,4456,4303,0
FIN7112,2026-01-23,Hyderabad,19900,15873,4027,0
FIN7113,2026-01-29,Bangalore,29747,17757,11990,0
FIN7114,2026-01-14,Hyderabad,46066,29151,16915,0
FIN7115,2026-01-31,Mumbai,30472,25443,5029,0
FIN7116,2026-01-13,Coimbatore,15301,7850,7451,0
FIN7117,2026-01-29,Bangalore,14709,11199,3510,0
FIN7118,2026-01-09,Coimbatore,16250,12825,3425,0
FIN7119,2026-01-08,Pune,9516,5190,4326,0
FIN7120,2026-01-09,Mumbai,18237,11068,7169,0
FIN7121,2026-01-08,Namakkal,8924,4638,4286,0
FIN7122,2026-01-21,Chennai,27749,18154,9595,0
FIN7123,2026-01-05,Mumbai,11914,9570,2344,0
FIN7124,2026-01-06,Bangalore,40807,26759,14048,0
FIN7125,2026-01-20,Pune,10966,5553,5413,0
FIN7126,2026-01-22,Chennai,25026,17652,7374,0
FIN7127,2026-01-02,Chennai,21610,14249,7361,0
FIN7128,2026-01-09,Bangalore,13893,11736,2157,0
FIN7129,2026-01-22,Mumbai,38709,21763,16946,0
FIN7130,2026-01-13,Pune,8552,4325,4227,0
FIN7131,2026-01-11,Pune,7853,4177,3676,0
FIN7132,2026-01-30,Hyderabad,14573,7849,6724,0
FIN7133,2026-01-15,Pune,19890,12020,7870,0
FIN7134,2026-01-19,Bangalore,49632,41370,8262,0
FIN7135,2026-01-11,Coimbatore,30392,19648,10744,0
FIN7136,2026-01-24,Pune,30482,21549,8933,0
FIN7137,2026-01-18,Namakkal,13374,7551,5823,0
FIN7138,2026-01-01,Mumbai,21557,11803,9754,0
FIN7139,2026-01-05,Delhi,20545,22340,0,1795
FIN7140,2026-01-16,Bangalore,49761,31701,18060,0
FIN7141,2026-01-11,Coimbatore,31498,22866,8632,0
FIN7142,2026-01-03,Delhi,43570,48846,0,5276
FIN7143,2026-01-12,Mumbai,8920,5400,3520,0
FIN7144,2026-01-16,Hyderabad,10152,7773,2379,0
FIN7145,2026-01-17,Namakkal,45967,25104,20863,0
FIN7146,2026-01-31,Mumbai,44327,22910,21417,0
FIN7147,2026-01-19,Mumbai,16604,11558,5046,0
FIN7148,2026-01-31,Chennai,36103,18659,17444,0
FIN7149,2026-01-14,Delhi,34704,19399,15305,0
FIN7150,2026-01-14,Delhi,46622,30258,16364,0
FIN7151,2026-01-21,Pune,36143,27514,8629,0
FIN7152,2026-01-21,Namakkal,7971,4544,3427,0
FIN7153,2026-01-22,Bangalore,41212,25365,15847,0
FIN7154,2026-01-21,Hyderabad,28662,22036,6626,0
FIN7155,2026-01-17,Chennai,38967,41575,0,2608
FIN7156,2026-01-13,Bangalore,7448,5109,2339,0
FIN7157,2026-01-10,Chennai,39870,25155,14715,0
FIN7158,2026-01-06,Pune,10815,13556,0,2741
FIN7159,2026-01-03,Chennai,26062,19827,6235,0
FIN7160,2026-01-05,Coimbatore,20460,14082,6378,0
FIN7161,2026-01-17,Pune,44815,34404,10411,0
FIN7162,2026-01-24,Hyderabad,23043,16686,6357,0
FIN7163,2026-01-03,Mumbai,42788,24538,18250,0
FIN7164,2026-01-06,Namakkal,11375,8298,3077,0
FIN7165,2026-01-27,Namakkal,15251,8107,7144,0
FIN7166,2026-01-02,Mumbai,16790,9911,6879,0
FIN7167,2026-01-27,Chennai,30799,16210,14589,0
FIN7168,2026-01-30,Coimbatore,12425,8048,4377,0
FIN7169,2026-01-17,Bangalore,11188,6648,4540,0
FIN7170,2026-01-19,Bangalore,45605,30746,14859,0
FIN7171,2026-01-07,Coimbatore,25470,21507,3963,0
FIN7172,2026-01-08,Mumbai,31079,23528,7551,0
FIN7173,2026-01-07,Delhi,25056,27787,0,2731
FIN7174,2026-01-01,Mumbai,42247,21327,20920,0
FIN7175,2026-01-29,Namakkal,12536,10139,2397,0
FIN7176,2026-01-27,Mumbai,31705,24994,6711,0
FIN7177,2026-01-04,Mumbai,18790,14072,4718,0
FIN7178,2026-01-07,Delhi,8586,4818,3768,0
FIN7179,2026-01-19,Bangalore,45509,24105,21404,0
FIN7180,2026-01-29,Bangalore,41304,32144,9160,0
FIN7181,2026-01-23,Namakkal,30231,15796,14435,0
FIN7182,2026-01-06,Bangalore,27954,14814,13140,0
FIN7183,2026-01-13,Namakkal,5998,3326,2672,0
FIN7184,2026-01-18,Delhi,8238,5747,2491,0
FIN7185,2026-01-26,Namakkal,15989,12865,3124,0
FIN7186,2026-01-06,Namakkal,39256,30514,8742,0
FIN7187,2026-01-30,Mumbai,35482,28230,7252,0
FIN7188,2026-01-25,Delhi,28946,16641,12305,0
FIN7189,2026-01-27,Pune,21053,17573,3480,0
FIN7190,2026-01-22,Coimbatore,19730,15185,4545,0
FIN7191,2026-01-14,Coimbatore,35814,30160,5654,0
FIN7192,2026-01-22,Delhi,46388,24198,22190,0
FIN7193,2026-01-23,Namakkal,38704,31066,7638,0
FIN7194,2026-01-15,Bangalore,49997,41666,8331,0
FIN7195,2026-01-28,Coimbatore,48495,36674,11821,0
FIN7196,2026-01-16,Namakkal,21118,14411,6707,0
FIN7197,2026-01-25,Pune,26400,14560,11840,0
FIN7198,2026-01-31,Bangalore,38089,20227,17862,0
FIN7199,2026-01-21,Bangalore,34041,25813,8228,0
FIN7200,2026-01-02,Coimbatore,27419,20481,6938,0
FIN7201,2026-01-27,Hyderabad,24961,21162,3799,0
FIN7202,2026-01-12,Namakkal,16204,11139,5065,0
FIN7203,2026-01-05,Pune,10455,13584,0,3129
FIN7204,2026-01-29,Coimbatore,26265,16221,10044,0
FIN7205,2026-01-13,Delhi,14316,9923,4393,0
FIN7206,2026-01-08,Bangalore,8854,9716,0,862
FIN7207,2026-01-08,Mumbai,35797,40560,0,4763
FIN7208,2026-01-31,Delhi,19249,15393,3856,0
FIN7209,2026-01-10,Namakkal,26498,17193,9305,0
FIN7210,2026-01-04,Coimbatore,49615,52114,0,2499
FIN7211,2026-01-19,Coimbatore,19038,12268,6770,0
FIN7212,2026-01-05,Bangalore,11186,8217,2969,0
FIN7213,2026-01-12,Namakkal,35909,45220,0,9311
FIN7214,2026-01-31,Bangalore,24340,31330,0,6990
FIN7215,2026-01-19,Bangalore,34164,21050,13114,0
FIN7216,2026-01-07,Chennai,5899,4308,1591,0
FIN7217,2026-01-22,Pune,33440,24515,8925,0
FIN7218,2026-01-09,Bangalore,27190,13806,13384,0
FIN7219,2026-01-10,Bangalore,21428,16927,4501,0
FIN7220,2026-01-11,Namakkal,15588,9031,6557,0
FIN7221,2026-01-24,Delhi,24016,20270,3746,0
FIN7222,2026-01-25,Pune,47898,32804,15094,0
FIN7223,2026-01-11,Namakkal,15076,8036,7040,0
FIN7224,2026-01-05,Mumbai,29568,16221,13347,0
FIN7225,2026-01-31,Delhi,14391,11009,3382,0
FIN7226,2026-01-02,Delhi,40895,27983,12912,0
FIN7227,2026-01-20,Coimbatore,17631,12883,4748,0
FIN7228,2026-01-05,Mumbai,20700,16453,4247,0
FIN7229,2026-01-02,Namakkal,26244,16579,9665,0
FIN7230,2026-01-15,Pune,7610,9779,0,2169
FIN7231,2026-01-16,Hyderabad,21739,14628,7111,0
FIN7232,2026-01-19,Bangalore,47014,58001,0,10987
FIN7233,2026-01-08,Mumbai,17127,10635,6492,0
FIN7234,2026-01-10,Pune,28613,22943,5670,0
