Revenue_ID,Date,City,Total_Orders,Revenue,Expenses,Net_Profit
REV6000,2026-01-30,Chennai,22,1386,888,498
REV6001,2026-01-13,Namakkal,74,8806,6737,2069
REV6002,2026-01-02,Bangalore,49,3871,2999,872
REV6003,2026-01-28,Namakkal,66,3894,2094,1800
REV6004,2026-01-28,Chennai,140,11620,8842,2778
REV6005,2026-01-15,Bangalore,196,19600,11105,8495
REV6006,2026-01-15,Delhi,23,2208,1202,1006
REV6007,2026-01-02,Chennai,48,2400,1698,702
REV6008,2026-01-17,Pune,110,6160,4841,1319
REV6009,2026-01-01,Pune,141,5781,3659,2122
REV6010,2026-01-13,Bangalore,62,4526,3025,1501
REV6011,2026-01-12,Bangalore,111,10545,8101,2444
REV6012,2026-01-04,Chennai,151,18120,13802,4318
REV6013,2026-01-14,Coimbatore,181,9231,5487,3744
REV6014,2026-01-16,Coimbatore,184,10488,8274,2214
REV6015,2026-01-21,Hyderabad,128,14848,7638,7210
REV6016,2026-01-07,Chennai,172,12212,7287,4925
REV6017,2026-01-06,Pune,96,5568,4259,1309
REV6018,2026-01-16,Namakkal,182,21476,14223,7253
REV6019,2026-01-02,Delhi,132,8052,4738,3314
REV6020,2026-01-01,Delhi,156,17316,13830,3486
REV6021,2026-01-03,Namakkal,68,4216,2709,1507
REV6022,2026-01-03,Namakkal,71,5396,4088,1308
REV6023,2026-01-01,Hyderabad,177,17523,9133,8390
REV6024,2026-01-21,Chennai,54,3348,2047,1301
REV6025,2026-01-29,Bangalore,24,1368,1079,289
REV6026,2026-01-07,Coimbatore,200,11400,6299,5101
REV6027,2026-01-04,Chennai,39,2730,1677,1053
REV6028,2026-01-12,Mumbai,200,20600,15251,5349
REV6029,2026-01-29,Namakkal,192,10752,5793,4959
REV6030,2026-01-27,Pune,82,5166,3660,1506
REV6031,2026-01-18,Coimbatore,101,4545,3574,971
REV6032,2026-01-11,Pune,66,6996,4444,2552
REV6033,2026-01-25,Mumbai,129,13674,10137,3537
REV6034,2026-01-16,Delhi,86,3956,2106,1850
REV6035,2026-01-24,Pune,52,5772,4008,1764
REV6036,2026-01-08,Namakkal,147,12642,8225,4417
REV6037,2026-01-13,Hyderabad,112,12656,7346,5310
REV6038,2026-01-30,Mumbai,91,8099,4451,3648
REV6039,2026-01-13,Namakkal,106,7102,4174,2928
REV6040,2026-01-01,Namakkal,151,12684,9874,2810
REV6041,2026-01-28,Chennai,134,12864,7193,5671
REV6042,2026-01-30,Chennai,140,16240,8646,7594
REV6043,2026-01-31,Pune,124,5084,3879,1205
REV6044,2026-01-27,Pune,60,4980,3706,1274
REV6045,2026-01-13,Mumbai,106,11342,6115,5227
REV6046,2026-01-07,Bangalore,166,11288,8758,2530
REV6047,2026-01-30,Mumbai,68,4216,2735,1481
REV6048,2026-01-30,Hyderabad,133,11970,6327,5643
REV6049,2026-01-04,Pune,179,13246,8348,4898
REV6050,2026-01-04,Chennai,179,11098,5911,5187
REV6051,2026-01-06,Coimbatore,132,10956,6720,4236
REV6052,2026-01-21,Namakkal,163,11899,8122,3777
REV6053,2026-01-15,Bangalore,120,14160,8284,5876
REV6054,2026-01-18,Bangalore,40,3640,2418,1222
REV6055,2026-01-07,Chennai,31,3379,1904,1475
REV6056,2026-01-20,Namakkal,67,5025,3412,1613
REV6057,2026-01-09,Mumbai,61,6039,3538,2501
REV6058,2026-01-05,Namakkal,128,11136,7849,3287
REV6059,2026-01-31,Coimbatore,40,3120,1705,1415
REV6060,2026-01-27,Mumbai,111,12432,9167,3265
REV6061,2026-01-30,Pune,51,3825,2798,1027
REV6062,2026-01-17,Hyderabad,116,8468,5782,2686
REV6063,2026-01-02,Delhi,81,8910,5578,3332
REV6064,2026-01-23,Pune,25,1200,717,483
REV6065,2026-01-28,Hyderabad,68,4556,2581,1975
REV6066,2026-01-19,Chennai,170,9520,5609,3911
REV6067,2026-01-07,Namakkal,150,8250,5005,3245
REV6068,2026-01-08,Namakkal,120,12840,7098,5742
REV6069,2026-01-28,Namakkal,99,11088,8067,3021
REV6070,2026-01-08,Namakkal,80,9200,4898,4302
REV6071,2026-01-28,Delhi,133,6384,3393,2991
REV6072,2026-01-01,Mumbai,83,5478,4110,1368
REV6073,2026-01-21,Bangalore,190,12540,7566,4974
REV6074,2026-01-29,Coimbatore,198,23166,12868,10298
REV6075,2026-01-10,Mumbai,108,7668,4694,2974
REV6076,2026-01-01,Coimbatore,84,3696,2122,1574
REV6077,2026-01-02,Mumbai,58,6786,4894,1892
REV6078,2026-01-29,Coimbatore,69,4899,3652,1247
REV6079,2026-01-22,Hyderabad,129,13416,9548,3868
REV6080,2026-01-10,Delhi,114,9348,5983,3365
REV6081,2026-01-13,Namakkal,184,16928,11807,5121
REV6082,2026-01-04,Mumbai,29,2668,1651,1017
REV6083,2026-01-21,Pune,59,2537,1594,943
REV6084,2026-01-20,Delhi,45,2250,1608,642
REV6085,2026-01-13,Chennai,38,1710,1182,528
REV6086,2026-01-09,Mumbai,26,1690,1160,530
REV6087,2026-01-30,Delhi,100,11400,7474,3926
REV6088,2026-01-20,Hyderabad,113,9605,5309,4296
REV6089,2026-01-23,Hyderabad,125,12500,6499,6001
REV6090,2026-01-19,Chennai,65,6175,3162,3013
REV6091,2026-01-16,Pune,178,20470,14029,6441
REV6092,2026-01-04,Pune,191,17572,8862,8710
REV6093,2026-01-05,Mumbai,63,3843,2138,1705
REV6094,2026-01-01,Hyderabad,131,15196,11609,3587
REV6095,2026-01-24,Hyderabad,121,7744,5943,1801
REV6096,2026-01-02,Hyderabad,29,2320,1795,525
REV6097,2026-01-29,Mumbai,32,2624,1364,1260
REV6098,2026-01-09,Bangalore,90,8640,5615,3025
REV6099,2026-01-21,Mumbai,23,943,647,296
